1,60,5,2019-09-01 15:44:25.768 +00:00,2019-09-01 15:44:25.768 +00:00
2,1,2,2019-09-01 15:44:25.788 +00:00,2019-09-01 15:44:25.788 +00:00
3,7,2,2019-09-01 15:44:25.788 +00:00,2019-09-01 15:44:25.788 +00:00
4,2,3,2019-09-01 15:44:25.788 +00:00,2019-09-01 15:44:25.788 +00:00
5,8,2,2019-09-01 15:44:25.789 +00:00,2019-09-01 15:44:25.789 +00:00
6,9,2,2019-09-01 15:44:25.789 +00:00,2019-09-01 15:44:25.789 +00:00
7,5,3,2019-09-01 15:44:25.789 +00:00,2019-09-01 15:44:25.789 +00:00
8,15,4,2019-09-01 15:44:25.789 +00:00,2019-09-01 15:44:25.789 +00:00
9,23,2,2019-09-01 15:44:25.790 +00:00,2019-09-01 15:44:25.790 +00:00
10,18,2,2019-09-01 15:44:25.790 +00:00,2019-09-01 15:44:25.790 +00:00
11,25,4,2019-09-01 15:44:25.790 +00:00,2019-09-01 15:44:25.790 +00:00
12,26,1,2019-09-01 15:44:25.790 +00:00,2019-09-01 15:44:25.790 +00:00
13,22,4,2019-09-01 15:44:25.791 +00:00,2019-09-01 15:44:25.791 +00:00
14,28,4,2019-09-01 15:44:25.791 +00:00,2019-09-01 15:44:25.791 +00:00
15,29,2,2019-09-01 15:44:25.791 +00:00,2019-09-01 15:44:25.791 +00:00
16,30,3,2019-09-01 15:44:25.792 +00:00,2019-09-01 15:44:25.792 +00:00
17,31,2,2019-09-01 15:44:25.792 +00:00,2019-09-01 15:44:25.792 +00:00
18,21,4,2019-09-01 15:44:25.792 +00:00,2019-09-01 15:44:25.792 +00:00
19,16,4,2019-09-01 15:44:25.792 +00:00,2019-09-01 15:44:25.792 +00:00
20,17,3,2019-09-01 15:44:25.793 +00:00,2019-09-01 15:44:25.793 +00:00
21,20,2,2019-09-01 15:44:25.953 +00:00,2019-09-01 15:44:25.953 +00:00
22,33,5,2019-09-01 15:44:25.954 +00:00,2019-09-01 15:44:25.954 +00:00
23,34,2,2019-09-01 15:44:25.954 +00:00,2019-09-01 15:44:25.954 +00:00
24,35,1,2019-09-01 15:44:25.954 +00:00,2019-09-01 15:44:25.954 +00:00
25,24,2,2019-09-01 15:44:25.954 +00:00,2019-09-01 15:44:25.954 +00:00
26,27,1,2019-09-01 15:44:25.955 +00:00,2019-09-01 15:44:25.955 +00:00
27,41,4,2019-09-01 15:44:25.955 +00:00,2019-09-01 15:44:25.955 +00:00
28,36,2,2019-09-01 15:44:25.955 +00:00,2019-09-01 15:44:25.955 +00:00
29,43,3,2019-09-01 15:44:25.955 +00:00,2019-09-01 15:44:25.955 +00:00
30,44,3,2019-09-01 15:44:25.956 +00:00,2019-09-01 15:44:25.956 +00:00
31,38,3,2019-09-01 15:44:25.956 +00:00,2019-09-01 15:44:25.956 +00:00
32,46,2,2019-09-01 15:44:25.956 +00:00,2019-09-01 15:44:25.956 +00:00
33,47,2,2019-09-01 15:44:25.956 +00:00,2019-09-01 15:44:25.956 +00:00
34,42,4,2019-09-01 15:44:25.957 +00:00,2019-09-01 15:44:25.957 +00:00
35,49,2,2019-09-01 15:44:26.078 +00:00,2019-09-01 15:44:26.078 +00:00
36,45,3,2019-09-01 15:44:26.078 +00:00,2019-09-01 15:44:26.078 +00:00
37,51,1,2019-09-01 15:44:26.078 +00:00,2019-09-01 15:44:26.078 +00:00
38,40,4,2019-09-01 15:44:26.078 +00:00,2019-09-01 15:44:26.078 +00:00
39,53,5,2019-09-01 15:44:26.079 +00:00,2019-09-01 15:44:26.079 +00:00
40,48,1,2019-09-01 15:44:26.079 +00:00,2019-09-01 15:44:26.079 +00:00
41,55,5,2019-09-01 15:44:26.079 +00:00,2019-09-01 15:44:26.079 +00:00
42,50,1,2019-09-01 15:44:26.079 +00:00,2019-09-01 15:44:26.079 +00:00
43,57,5,2019-09-01 15:44:26.079 +00:00,2019-09-01 15:44:26.079 +00:00
44,58,5,2019-09-01 15:44:26.080 +00:00,2019-09-01 15:44:26.080 +00:00
45,59,5,2019-09-01 15:44:26.080 +00:00,2019-09-01 15:44:26.080 +00:00
46,11,2,2019-09-01 15:44:26.080 +00:00,2019-09-01 15:44:26.080 +00:00
47,6,1,2019-09-01 15:44:26.081 +00:00,2019-09-01 15:44:26.081 +00:00
